epoch,critic_loss,decoder_accuracy,decoder_loss,encoder_decoder_total_loss,psnr,realism_loss,rs_bpp,similarity_loss,ssim,val_critic_loss,val_decoder_accuracy,val_decoder_loss,val_encoder_decoder_total_loss,val_psnr,val_realism_loss,val_rs_bpp,val_similarity_loss,val_ssim
0,-0.9035617113113403,0.6238430142402649,0.6758583784103394,10.817041397094727,11.253498077392578,0.03983534500002861,0.49537181854248047,10.101346969604492,0.42055875062942505,-0.414533793926239,0.6234854459762573,0.6680877208709717,3.9006824493408203,15.27370834350586,0.039444707334041595,0.49394166469573975,3.1931488513946533,0.5778554677963257
1,-0.3623034656047821,0.6976588368415833,0.6176506876945496,3.074589252471924,16.542739868164062,0.03549888730049133,0.790635883808136,2.4214391708374023,0.6176315546035767,-0.2862945795059204,0.6879443526268005,0.6296217441558838,2.1172029972076416,18.693145751953125,0.027437224984169006,0.7517774701118469,1.46014404296875,0.706871509552002
2,-0.2898464798927307,0.7136088609695435,0.5934052467346191,2.075662851333618,18.693653106689453,0.023446490988135338,0.8544355630874634,1.4588122367858887,0.7074543833732605,-0.2310468852519989,0.7157619595527649,0.5876668691635132,1.6072463989257812,20.29546356201172,0.021687867119908333,0.8630479574203491,0.9978916645050049,0.7694594860076904
3,-0.2562008798122406,0.7347063422203064,0.5572314262390137,1.6717571020126343,19.90338897705078,0.018242832273244858,0.9388238787651062,1.0962835550308228,0.7518054246902466,-0.22331346571445465,0.7490580081939697,0.5363216996192932,1.3463093042373657,21.26238441467285,0.01231757178902626,0.9962319731712341,0.7976700663566589,0.7864255309104919
4,-0.2592986226081848,0.7584130764007568,0.5178561806678772,1.4538464546203613,20.63033676147461,0.010282103903591633,1.033652424812317,0.9257073998451233,0.7734994292259216,-0.25789687037467957,0.7741991281509399,0.49426063895225525,1.1846981048583984,21.915931701660156,0.004213117528706789,1.0967965126037598,0.6862243413925171,0.8018285632133484
5,-0.2692255675792694,0.7807710766792297,0.4798559546470642,1.315192699432373,21.096603393554688,0.0038330182433128357,1.1230835914611816,0.8315034508705139,0.7848700881004333,-0.2510327100753784,0.7939602136611938,0.461471825838089,1.0937460660934448,22.278715133666992,0.003137902356684208,1.1758407354354858,0.6291364431381226,0.8138651251792908
6,-0.2590266168117523,0.801744282245636,0.44457730650901794,1.1858292818069458,21.613737106323242,0.0036015957593917847,1.2069772481918335,0.7376505136489868,0.7961943745613098,-0.2422669231891632,0.8156901597976685,0.4212106466293335,1.056580662727356,22.28436279296875,0.0035117133520543575,1.2627606391906738,0.631858229637146,0.8085106611251831
7,-0.24793203175067902,0.8197667002677917,0.4137847423553467,1.1229777336120605,21.806476593017578,0.0034383090678602457,1.279067039489746,0.7057550549507141,0.7999716401100159,-0.2348717898130417,0.8324857354164124,0.3928583264350891,0.9363945722579956,22.975601196289062,0.003231858601793647,1.3299425840377808,0.5403044819831848,0.8227667212486267
8,-0.23667341470718384,0.8369024395942688,0.38310110569000244,1.0449150800704956,22.1110897064209,0.0033446718007326126,1.3476098775863647,0.6584689617156982,0.8051518797874451,-0.21733009815216064,0.8480898141860962,0.36435410380363464,0.8786818981170654,23.194259643554688,0.0033497759141027927,1.3923590183258057,0.5109779834747314,0.8247185349464417
9,-0.22776742279529572,0.8506186008453369,0.35675904154777527,0.9890156388282776,22.324800491333008,0.0032341640908271074,1.4024748802185059,0.6290228366851807,0.8065031170845032,-0.2141863852739334,0.8599711060523987,0.33815741539001465,0.8510679006576538,23.241676330566406,0.003183819120749831,1.4398843050003052,0.5097267031669617,0.8200883269309998
