model,dir,epoch,decoder_accuracy,decoder_loss,adversarial_loss,encoder_decoder_total_loss,psnr,realism_loss,rs_bpp,similarity_loss,ssim
dcgan,d1,31.0,0.9687265753746032,0.0852244347333908,0.8307604193687439,0.5156306624412537,24.339784622192383,0.0154794780537486,0.9374525547027588,0.4149268269538879,0.8734237551689148
dcgan,d2,31.0,0.9222596883773804,0.1903212964534759,0.7373105883598328,0.6263235211372375,24.227537155151367,0.0163753665983676,1.6890379190444946,0.4196268320083618,0.8517442941665649
dcgan,d3,31.0,0.7816319465637207,0.3971297144889831,0.8485286235809326,0.7849171161651611,24.753572463989254,0.0146785071119666,1.689791560173035,0.3731089532375335,0.8688075542449951
dcgan,d4,31.0,0.6907204389572144,0.5046901106834412,0.9984196424484252,0.8786508440971375,25.00392341613769,0.0120072616264224,1.525763988494873,0.3619533777236938,0.8812241554260254
dcgan,d5,31.0,0.6524481177330017,0.5677329897880554,1.0775138139724731,0.9040434956550598,25.45348358154297,0.0112265395000576,1.5244789123535156,0.3250837028026581,0.8914748430252075
dcgan,d6,31.0,0.6369017958641052,0.6077781915664673,1.0321954488754272,0.9532142877578736,25.38909339904785,0.0118850311264395,1.6428234577178955,0.3335508108139038,0.9003857374191284
wgan,d1,31.0,0.9697917103767396,0.0812331736087799,-0.1509535461664199,0.49791020154953,24.315385818481445,0.0018333690240979,0.9395826458930968,0.4148436784744262,0.8647240400314331
wgan,d2,31.0,0.9205586910247804,0.1955175399780273,-0.1254534870386123,0.6482331156730652,23.87416076660156,0.0020023207180202,1.682234525680542,0.4507132768630981,0.8359037637710571
wgan,d3,31.0,0.7711164951324463,0.4100821614265442,-0.1277803629636764,0.8109880089759827,24.43285179138184,0.001408947398886,1.626698017120361,0.3994969427585602,0.8597008585929871
wgan,d4,31.0,0.6900424361228943,0.4987900555133819,-0.1013663783669471,0.8606383800506592,24.945785522460938,0.0018892291700467,1.520339846611023,0.3599593341350555,0.8739599585533142
wgan,d5,31.0,0.6532660722732544,0.5657386183738708,-0.1066315248608589,0.925829529762268,25.009241104125977,0.0020864910911768,1.5326588153839111,0.3580042719841003,0.8834702968597412
wgan,d6,31.0,0.6342042088508606,0.6041494011878967,-0.0867950022220611,0.95586097240448,25.351398468017575,0.0146097615361213,1.6104497909545898,0.3371020257472992,0.8923325538635254
wgan-gp,d1,31.0,0.9592080116271972,0.1076866164803505,-7.081558227539063,0.4290876090526581,25.0889835357666,-0.036696795374155,0.9184154272079468,0.358098030090332,0.8937135338783264
wgan-gp,d2,31.0,0.8997690677642822,0.23719222843647,-9.183022499084473,1.0569285154342651,24.75504302978516,0.4441240429878235,1.5990763902664185,0.3756125569343567,0.8740226030349731
wgan-gp,d3,31.0,0.7476426959037781,0.4432748854160309,-5.572544097900391,0.9130811095237732,24.76419448852539,0.090534932911396,1.485854983329773,0.3792710900306701,0.886620283126831
wgan-gp,d4,31.0,0.6829365491867065,0.532158613204956,-5.272314071655273,1.1529921293258667,25.01089859008789,0.2619640827178955,1.4634913206100464,0.3588695824146271,0.8969197869300842
wgan-gp,d5,31.0,0.6428617835044861,0.6068955063819885,-5.520933628082275,0.7475130558013916,25.36539459228516,-0.1947900801897049,1.4286177158355713,0.3354073762893677,0.9057258367538452
wgan-gp,d6,31.0,0.6205126047134399,0.6385904550552368,-4.134149551391602,0.809241771697998,25.321897506713867,-0.1674620956182479,1.44615375995636,0.3381136059761047,0.9081443548202516
