epoch,critic_loss,decoder_accuracy,decoder_loss,encoder_decoder_total_loss,gradient_penalty,psnr,realism_loss,rs_bpp,similarity_loss,ssim,val_critic_loss,val_decoder_accuracy,val_decoder_loss,val_encoder_decoder_total_loss,val_gradient_penalty,val_psnr,val_realism_loss,val_rs_bpp,val_similarity_loss,val_ssim
0,-195.8798370361328,0.8022852540016174,41.59263229370117,60.49124526977539,11.289684295654297,9.764457702636719,6.763820171356201,0.6045701503753662,12.13479995727539,0.25200602412223816,-202.76132202148438,0.9453619122505188,37.872806549072266,51.298675537109375,9.071314811706543,11.782973289489746,6.496406078338623,0.8907240033149719,6.929470062255859,0.267697274684906
1,-149.0878448486328,0.9859364032745361,5.5691752433776855,16.303190231323242,8.955648422241211,12.937341690063477,5.440529823303223,0.9718730449676514,5.293475151062012,0.31017032265663147,-128.6859130859375,0.9930592179298401,9.584341049194336,17.734458923339844,5.71609354019165,13.986518859863281,3.9719479084014893,0.9861185550689697,4.178171157836914,0.37228697538375854
2,-107.5048828125,0.9941779375076294,2.412135124206543,9.493122100830078,5.877502918243408,14.320972442626953,3.2509448528289795,0.9883554577827454,3.830040693283081,0.38146305084228516,-97.47013854980469,0.9963188767433167,2.484856128692627,8.143367767333984,3.450272798538208,14.982643127441406,2.355325698852539,0.9926381707191467,3.30318546295166,0.42852509021759033
3,-86.4969253540039,0.9959548115730286,1.6389493942260742,6.9972920417785645,4.410198211669922,15.177143096923828,2.21317720413208,0.9919090867042542,3.145162582397461,0.4275926947593689,-81.0517807006836,0.9974913597106934,1.3906787633895874,5.901839733123779,2.7965919971466064,15.8417329788208,1.7901798486709595,0.9949827790260315,2.7209811210632324,0.4717797040939331
4,-74.58587646484375,0.996722936630249,1.2921050786972046,5.3425164222717285,3.624802827835083,15.841181755065918,1.348874807357788,0.9934461712837219,2.7015366554260254,0.4640503227710724,-72.09132385253906,0.9979405403137207,1.0022952556610107,4.226118087768555,2.206758975982666,16.405744552612305,0.8388055562973022,0.9958809614181519,2.3850176334381104,0.5047532916069031
5,-66.08277130126953,0.9971920847892761,1.0831142663955688,3.7315127849578857,3.091386079788208,16.363218307495117,0.2507515847682953,0.9943850636482239,2.3976471424102783,0.49335360527038574,-64.08565521240234,0.9982525706291199,0.8385373950004578,3.398038864135742,1.8766980171203613,16.887060165405273,0.41476359963417053,0.9965052008628845,2.14473819732666,0.529468834400177
6,-60.7825813293457,0.9974770545959473,0.951422929763794,3.026437759399414,2.669046401977539,16.833763122558594,-0.07948695123195648,0.994953989982605,2.1545026302337646,0.5183019042015076,-58.693809509277344,0.9981805682182312,0.7900621891021729,2.8379323482513428,1.5925531387329102,17.3951473236084,0.14219936728477478,0.9963610768318176,1.9056707620620728,0.5587230920791626
7,-57.959014892578125,0.997729480266571,0.8422116041183472,2.148869514465332,2.4759719371795654,17.227720260620117,-0.6622515916824341,0.9954599142074585,1.9689096212387085,0.5407041311264038,-58.334625244140625,0.9984865784645081,0.6497265696525574,2.001556158065796,1.3526073694229126,17.78560447692871,-0.3881375789642334,0.9969730973243713,1.7399674654006958,0.5734059810638428
8,-55.5510368347168,0.9979581236839294,0.7520401477813721,1.2721220254898071,2.3649065494537354,17.62455940246582,-1.2769801616668701,0.9959165453910828,1.797061800956726,0.561620831489563,-52.398353576660156,0.9985684752464294,0.6228863596916199,1.1358777284622192,1.096863031387329,18.176658630371094,-1.0812125205993652,0.9971372485160828,1.5942038297653198,0.5978586673736572
9,-53.302310943603516,0.9980887770652771,0.6946282982826233,0.47440284490585327,2.252406597137451,17.944110870361328,-1.892311453819275,0.9961774349212646,1.672086477279663,0.5802367925643921,-54.24336242675781,0.9987289309501648,0.5170467495918274,0.49277156591415405,1.2130086421966553,18.3684139251709,-1.5438570976257324,0.99745774269104,1.5195822715759277,0.6098220944404602
10,-52.50336456298828,0.9982550144195557,0.6314638257026672,-0.2722662091255188,2.2181625366210938,18.24709701538086,-2.4660890102386475,0.9965102672576904,1.5623588562011719,0.5950816869735718,-51.54289627075195,0.9989345073699951,0.4496610760688782,-0.21799074113368988,1.2827768325805664,18.718870162963867,-2.0760157108306885,0.9978687763214111,1.408363938331604,0.624062180519104
11,-49.88816833496094,0.9983419179916382,0.5917436480522156,-0.9163017272949219,2.0315048694610596,18.55293846130371,-2.967641830444336,0.9966838955879211,1.4595978260040283,0.6106024384498596,-43.16889572143555,0.998890221118927,0.44575178623199463,-1.0742146968841553,0.6883545517921448,18.880460739135742,-2.8709561824798584,0.9977806210517883,1.350989580154419,0.6383450031280518
12,-48.482357025146484,0.9984017014503479,0.570183277130127,-1.4037607908248901,1.9818339347839355,18.768169403076172,-3.3634119033813477,0.9968029260635376,1.3894686698913574,0.6209123730659485,-42.96546936035156,0.9990729689598083,0.37369391322135925,-1.3359429836273193,0.6318792104721069,18.992795944213867,-3.0269527435302734,0.9981458187103271,1.3173161745071411,0.6447834968566895
13,-46.258174896240234,0.9985424280166626,0.5181881785392761,-1.666358232498169,1.916743516921997,18.9589786529541,-3.5187926292419434,0.997084379196167,1.3342465162277222,0.6308984160423279,-44.55392074584961,0.9990946054458618,0.35359203815460205,-1.4770959615707397,0.9217855930328369,19.431682586669922,-3.02610445022583,0.998189389705658,1.1954163312911987,0.6577620506286621
14,-43.80365753173828,0.9986169338226318,0.48987770080566406,-1.854932427406311,1.8134105205535889,19.129148483276367,-3.631317138671875,0.9972338676452637,1.2865066528320312,0.6406688094139099,-42.2811279296875,0.9990575313568115,0.36584699153900146,-1.5455204248428345,0.9134882092475891,19.669641494750977,-3.049995183944702,0.9981152415275574,1.138627529144287,0.6672880053520203
15,-43.15420913696289,0.9986752867698669,0.4632434546947479,-2.0460093021392822,1.667728304862976,19.313026428222656,-3.744028329849243,0.9973506331443787,1.2347770929336548,0.6491439938545227,-40.369285583496094,0.9991463422775269,0.32521674036979675,-1.6580091714859009,0.7546400427818298,19.794475555419922,-3.0854387283325195,0.9982924461364746,1.102212905883789,0.6738278865814209
16,-41.63005828857422,0.9987037777900696,0.4534303545951843,-2.0274062156677246,1.6484168767929077,19.428485870361328,-3.6847188472747803,0.9974079728126526,1.2038836479187012,0.6554895639419556,-39.19913101196289,0.9991588592529297,0.3296116590499878,-1.881147027015686,0.7181321978569031,19.849395751953125,-3.304656744003296,0.9983179569244385,1.0938982963562012,0.6819151043891907
17,-40.3459358215332,0.9987931251525879,0.4248028099536896,-2.136275053024292,1.6331722736358643,19.55653190612793,-3.731823682785034,0.9975857734680176,1.1707476377487183,0.6607868671417236,-42.495262145996094,0.9994090795516968,0.23295266926288605,-1.7574292421340942,1.016923427581787,19.60242462158203,-3.1491172313690186,0.9988182187080383,1.1587352752685547,0.6729285717010498
18,-39.83198165893555,0.9988308548927307,0.40960341691970825,-2.188194751739502,1.5349221229553223,19.64719009399414,-3.745835542678833,0.9976624250411987,1.148037075996399,0.667735755443573,-41.79745101928711,0.9993645548820496,0.239942729473114,-1.9736050367355347,0.8545764684677124,19.874727249145508,-3.2982614040374756,0.99872887134552,1.0847139358520508,0.6863349676132202
19,-39.00841522216797,0.9988714456558228,0.39571458101272583,-2.222665786743164,1.529241919517517,19.753637313842773,-3.740407705307007,0.9977428317070007,1.1220276355743408,0.6706284880638123,-35.675331115722656,0.9992709159851074,0.2767338156700134,-1.9900494813919067,0.5130414962768555,20.243539810180664,-3.2640838623046875,0.9985416531562805,0.9973008036613464,0.6919384002685547
20,-38.29045104980469,0.9989287853240967,0.3755559027194977,-2.1696417331695557,1.4059070348739624,19.919580459594727,-3.627251625061035,0.9978580474853516,1.082053780555725,0.6773539185523987,-40.68537521362305,0.9994325041770935,0.2204733043909073,-1.7685518264770508,0.8145430088043213,20.203886032104492,-2.9979162216186523,0.9988651275634766,1.0088915824890137,0.6974119544029236
21,-37.99506759643555,0.9988670945167542,0.4025990962982178,-2.028541326522827,1.4715722799301147,19.926034927368164,-3.514047145843506,0.9977348446846008,1.0829066038131714,0.6790509223937988,-40.80474853515625,0.9993443489074707,0.24995824694633484,-1.763579249382019,1.2716143131256104,20.41483497619629,-2.972783088684082,0.998688817024231,0.9592453837394714,0.7037884593009949
22,-36.292762756347656,0.9990161657333374,0.3482286334037781,-1.999708652496338,1.4171867370605469,20.071117401123047,-3.395594835281372,0.9980325102806091,1.0476577281951904,0.6848536729812622,-36.154239654541016,0.9994674921035767,0.20988881587982178,-1.7486315965652466,0.7706780433654785,20.412311553955078,-2.9287166595458984,0.9989351630210876,0.970196545124054,0.708523690700531
23,-35.270565032958984,0.9990034699440002,0.3507325351238251,-1.9329040050506592,1.3541195392608643,20.145183563232422,-3.314357280731201,0.9980068206787109,1.0307204723358154,0.6892751455307007,-35.588714599609375,0.999431848526001,0.21440476179122925,-1.672070026397705,0.4723537862300873,20.168807983398438,-2.9015603065490723,0.9988637566566467,1.0150858163833618,0.7026124596595764
24,-34.71974563598633,0.9990198612213135,0.34400108456611633,-1.776329517364502,1.3350776433944702,20.19304084777832,-3.1380679607391357,0.9980394840240479,1.0177370309829712,0.6916291117668152,-33.754756927490234,0.9994375109672546,0.21909624338150024,-1.5490609407424927,0.5716737508773804,20.611774444580078,-2.693007469177246,0.9988749027252197,0.9248509407043457,0.7158098816871643
25,-35.02937698364258,0.9990612864494324,0.32742828130722046,-1.729495882987976,1.2279146909713745,20.270938873291016,-3.0617482662200928,0.9981224536895752,1.0048227310180664,0.696368932723999,-38.41535186767578,0.9996353983879089,0.14323335886001587,-1.6663572788238525,0.5008692741394043,20.12445640563965,-2.83782958984375,0.9992707967758179,1.0282390117645264,0.7006769776344299
26,-34.770965576171875,0.9990354776382446,0.34358280897140503,-1.5705368518829346,1.2743128538131714,20.29767608642578,-2.907865524291992,0.9980718493461609,0.9937449097633362,0.6943367719650269,-32.69340896606445,0.9995110034942627,0.18929588794708252,-1.4819004535675049,0.38333338499069214,20.89812660217285,-2.5409042835235596,0.9990223050117493,0.8697078824043274,0.7232846617698669
27,-33.44709777832031,0.9991454482078552,0.3015015125274658,-1.5108540058135986,1.2049640417099,20.4284610748291,-2.7830188274383545,0.9982907772064209,0.9706641435623169,0.7031476497650146,-33.722015380859375,0.9994609355926514,0.1980476826429367,-1.3389182090759277,0.43254050612449646,20.994661331176758,-2.3832244873046875,0.9989217519760132,0.8462585210800171,0.7260251045227051
