epoch,decoder_accuracy,decoder_loss,discriminator_loss,encoder_decoder_total_loss,psnr,realism_loss,rs_bpp,similarity_loss,ssim,val_decoder_accuracy,val_decoder_loss,val_discriminator_loss,val_encoder_decoder_total_loss,val_psnr,val_realism_loss,val_rs_bpp,val_similarity_loss,val_ssim
0,0.5680423378944397,0.7079761624336243,1.0677542686462402,8.240750312805176,12.143553733825684,0.012480373494327068,0.4082541763782501,7.520288467407227,0.4347640872001648,0.5553935766220093,0.6823292374610901,1.1505589485168457,2.8130533695220947,16.96718978881836,0.012474448420107365,0.3323614001274109,2.1182491779327393,0.6145592331886292
0,0.6257761120796204,0.6642990112304688,1.1061595678329468,2.7877936363220215,17.125703811645508,0.01173048373311758,0.7546566724777222,2.1117639541625977,0.6368350982666016,0.6174200177192688,0.6701349020004272,1.2094008922576904,2.0468051433563232,18.991802215576172,0.01398479100316763,0.7045202851295471,1.3626855611801147,0.7263438701629639
1,0.6334414482116699,0.6593486070632935,1.1239867210388184,1.9210450649261475,19.34878921508789,0.010363280773162842,0.800649106502533,1.2513320446014404,0.7340409755706787,0.6316384673118591,0.6602119207382202,1.2601345777511597,1.5568838119506836,20.880695343017578,0.01466523390263319,0.7898306846618652,0.8820068836212158,0.7923690676689148
2,0.6392243504524231,0.6531879305839539,1.0827258825302124,1.6248849630355835,20.50102996826172,0.010047953575849533,0.8353462815284729,0.9616495370864868,0.7828556299209595,0.641086220741272,0.6501618027687073,1.4059982299804688,1.3546677827835083,21.967676162719727,0.01830301247537136,0.8465175032615662,0.6862033009529114,0.8247749209403992
3,0.6485704183578491,0.6413955092430115,1.0090523958206177,1.4266419410705566,21.43236541748047,0.010433513671159744,0.8914223313331604,0.7748129963874817,0.814744234085083,0.6533381938934326,0.6373798251152039,1.8365845680236816,1.2759652137756348,22.418806076049805,0.02719772793352604,0.9200292229652405,0.6113874912261963,0.845012366771698
4,0.6603519320487976,0.627067506313324,0.9166700839996338,1.341505527496338,21.865907669067383,0.011664585210382938,0.9621126651763916,0.7027738094329834,0.8291906714439392,0.6688286662101746,0.6167726516723633,1.9225242137908936,1.2847414016723633,22.257911682128906,0.029149917885661125,1.0129717588424683,0.6388188004493713,0.8310250639915466
5,0.6744188070297241,0.6109683513641357,0.8503857254981995,1.2482973337173462,22.400293350219727,0.012684253044426441,1.0465126037597656,0.6246449947357178,0.8407585024833679,0.681751549243927,0.6038520932197571,2.3255670070648193,1.1003813743591309,23.725988388061523,0.036529552191495895,1.090509057044983,0.4599996507167816,0.8623202443122864
6,0.6892183423042297,0.5943692922592163,0.8105116486549377,1.1897883415222168,22.70364761352539,0.013639924116432667,1.1353087425231934,0.5817791819572449,0.8476110100746155,0.6977174282073975,0.5866642594337463,2.400810718536377,1.0691883563995361,23.9161434173584,0.038361988961696625,1.1863048076629639,0.4441620707511902,0.8612766265869141
7,0.7041864991188049,0.5763065218925476,0.7954939007759094,1.1396032571792603,22.968181610107422,0.014530593529343605,1.2251189947128296,0.5487657785415649,0.8498470783233643,0.7134418487548828,0.5671136975288391,3.092942476272583,1.023161768913269,24.22745132446289,0.046503469347953796,1.2806512117385864,0.40954458713531494,0.8721501231193542
8,0.7186495065689087,0.5574187636375427,0.7860325574874878,1.1091922521591187,23.069629669189453,0.014855701476335526,1.311896800994873,0.5369178652763367,0.8508722186088562,0.725974440574646,0.5498048663139343,3.030139684677124,0.9995448589324951,24.291547775268555,0.04668174684047699,1.3558464050292969,0.4030582904815674,0.8710281252861023
